2189,9,482,11,8,0
30708,6503,6218,8708,103,30
76455,28896,18358,33627,497,318
77416,29027,23029,68986,522,559
34938,18290,14918,32465,160,407
20593,13008,11980,20309,95,372
18232,11863,12811,17100,112,290
19830,14103,15743,18326,189,324
19338,15037,16771,20231,158,345
16756,15535,16829,18705,230,250
16549,17278,18345,17780,286,246
22558,24811,23839,20890,537,149
38721,44954,45601,32884,672,212
36722,67749,58639,41680,506,359
20770,54843,37670,25406,239,283
15906,36609,28913,15095,158,193
17224,40448,37477,14490,190,198
10685,41198,24224,11440,101,187
3816,13718,6711,3613,22,66
272,3985,845,1082,0,21
0,5,0,0,0,0
